"Receptor","Peptide","EC50.ED50:(Intercept)","Slope.Slope:(Intercept)"
"","","",""
"GLWLp.R018a","GLWL","8.97350005615702e-07","-0.993224702459204"
"HIRa.R021","HIRa3","2.07057013335375e-09","-0.926879765550376"
"HIRa.R029","HIRa3","1.8546057833605e-07","-1.15394412702745"
"FLRNa.R026","FLRNa","7.42898999737794e-08","-1.23555921582857"
"FLRNa.R187","FLRNa","6.95748595193142e-08","-0.674932796539207"
"FLRNa.R197","FLRNa","1.07646578444419e-08","-1.85722348501752"
"FLRNa.R197","FYRVa","1.14138595685378e-06","-1.18614977741006"
"FLRNa.R230","FLRNa","4.68170684714532e-09","-0.886001701571297"
"PFHa.R036","PFHa","1.20414166166233e-08","-0.404945765111411"
"QWa.R069","QWa1","7.97401639109842e-07","-0.85761496883693"
"VRHa.R186","RHa1","2.69740415323634e-10","-0.475075308026848"
"RPa.R248","FRPa3","2.31484106675885e-07","-0.419896291956502"
"RPa.R248","RPa2","8.8695674394552e-09","-1.75409548967329"
"QGRFa.R070","QITRFa","1.69987621812269e-05","-1.34335561775993"
"QGRFa.R070","QGRFa","2.09699185327477e-06","-0.830215442189961"
"QGRFa.R234","QGRFa","4.66949148205656e-09","-0.518063101843157"
"QITRFa.R196","QITRFa","7.6984914983489e-11","-0.663474102783478"
"LRWa1.R019","LRWa1","9.09139494962045e-08","-1.47369380866912"
"LRWa1.R019","LRWa2","1.49617627909064e-06","-1.73853537953417"
"LRWa1.R019","LRWa3","3.39306994204461e-06","-1.39546034147012"
"LRWa.R193","LRWa1","6.64404294808225e-11","-0.603536969479979"
"LRWa.R193","LRWa2","1.97885539969794e-10","-0.533706796938462"
"LRWa.R193","LRWa3","6.86412317502427e-10","-0.343402030558896"
"LRWa3.R204","LRWa1","7.42800671705977e-08","-1.06324855803154"
"LRWa3.R204","LRWa2","1.78744685879717e-07","-1.25267113623119"
"LRWa3.R204","LRWa3","7.43965425431549e-10","-1.10034217849925"
"LRWa2.R213","LRWa1","5.41914243142812e-08","-1.30933335299948"
"LRWa2.R213","LRWa2","3.05833562253413e-08","-0.473672188267589"
"LRWa2.R213","LRWa3","2.19202634342199e-07","-1.04146064406851"
"PRGa.R028","PRGa","1.01050465460814e-08","-0.853908607794313"
"PRGa.R032","PRGa","3.41285904331054e-08","-0.467707585406368"
"PRGa.R198","PRGa","6.91193239873137e-10","-0.878686964585605"
"PRGa.R199","PRGa","5.16693737504276e-10","-0.573029219086522"
"PRGa.R200","PRGa","3.11713480057598e-09","-1.26744260540942"
"PRGa.R202","PRGa","4.61999578470403e-09","-0.757217280564085"
"PRGa.R210","PRGa","1.55660832900587e-10","-0.758990063544321"
"PRGa.R211","PRGa","2.38299745983661e-10","-0.998491723965391"
"PRGa.R219","PRGa","1.49972010012432e-08","-0.826983972577329"
"PRGa.R220","PRGa","5.1223243386447e-09","-0.999318544249387"
"PRGa.R221","PRGa","4.54727774302606e-08","-0.62599831878098"
"PRGa.R222","PRGa","1.41259605192498e-09","-1.61838750814971"
"PRGa.R223","PRGa","1.96308751267759e-09","-0.897112328034259"
